fichier,page,zone,information,etat,dimensions_niveaux,fiabilite_limites,inspection
Bordure maison.pdf,1,Bordure maison,"Plan vectoriel, longueurs XY et surface projetee si contour ferme",Etat non precise dans le PDF,Z locaux -0.59 a +0.00 m; voir tables CSV,Cotes explicites arrondies; XY deduits du trace; pas de coordonnees brutes; repere physique non localise,Page rendue inspectee + texte extrait
Bordure maison.pdf,2,Bordure maison,Tableau des cotes horizontales et Z locaux,Etat non precise dans le PDF,Z locaux -0.59 a +0.00 m; voir tables CSV,Cotes explicites arrondies; XY deduits du trace; pas de coordonnees brutes; repere physique non localise,Page rendue inspectee + texte extrait
Bordure maison.pdf,3,Bordure maison,Projection 3D du trace et parcours spatial,Etat non precise dans le PDF,Z locaux -0.59 a +0.00 m; voir tables CSV,Cotes explicites arrondies; XY deduits du trace; pas de coordonnees brutes; repere physique non localise,Page rendue inspectee + texte extrait
Bordure maison.pdf,4,Bordure maison,Tableau des cotes spatiales et Z locaux,Etat non precise dans le PDF,Z locaux -0.59 a +0.00 m; voir tables CSV,Cotes explicites arrondies; XY deduits du trace; pas de coordonnees brutes; repere physique non localise,Page rendue inspectee + texte extrait
Bordure maison.pdf,5,Bordure maison,Courbes de niveau et surface/volume calcules,Etat non precise dans le PDF,Z locaux -0.59 a +0.00 m; voir tables CSV,Cotes explicites arrondies; XY deduits du trace; pas de coordonnees brutes; repere physique non localise,Page rendue inspectee + texte extrait
Bordure maison.pdf,6,Bordure maison,Visualisation de surface interpolee,Etat non precise dans le PDF,Z locaux -0.59 a +0.00 m; voir tables CSV,Cotes explicites arrondies; XY deduits du trace; pas de coordonnees brutes; repere physique non localise,Page rendue inspectee + texte extrait
Bordure maison_page-0001.jpg,1,Bordure maison,Copie raster du plan,Meme representation visuelle que PDF p.1,Cotes visibles du plan seulement,Comparaison visuelle concordante; ne remplace pas les 6 pages PDF,Inspecte et compare au PDF
Terrasse de droite.pdf,1,Terrasse de droite,"Plan vectoriel, longueurs XY et surface projetee si contour ferme",Etat non precise dans le PDF,Z locaux -0.14 a +0.17 m; voir tables CSV,Cotes explicites arrondies; XY deduits du trace; pas de coordonnees brutes; repere physique non localise,Page rendue inspectee + texte extrait
Terrasse de droite.pdf,2,Terrasse de droite,Tableau des cotes horizontales et Z locaux,Etat non precise dans le PDF,Z locaux -0.14 a +0.17 m; voir tables CSV,Cotes explicites arrondies; XY deduits du trace; pas de coordonnees brutes; repere physique non localise,Page rendue inspectee + texte extrait
Terrasse de droite.pdf,3,Terrasse de droite,Projection 3D du trace et parcours spatial,Etat non precise dans le PDF,Z locaux -0.14 a +0.17 m; voir tables CSV,Cotes explicites arrondies; XY deduits du trace; pas de coordonnees brutes; repere physique non localise,Page rendue inspectee + texte extrait
